sale_id,sale_date,customer_id,product,category,quantity,price,store_id,payment_method
10026,2026-01-23,C7939,External SSD,Storage,2,129.99,S003,Mobile Payment
10027,2026-03-10,C1663,External SSD,Storage,4,129.99,S001,Credit Card
10028,2026-04-01,C4565,Keyboard,Accessories,5,49.99,S003,Mobile Payment
10029,2026-06-13,C5815,Monitor,Electronics,1,249.99,S004,Mobile Payment
10030,2026-01-28,C3523,Monitor,Electronics,5,249.99,S004,Mobile Payment
10031,2026-05-25,C6959,Headphones,Electronics,4,99.99,S004,Debit Card
10032,2026-01-06,C6932,Monitor,Electronics,1,249.99,S004,Credit Card
10033,2026-05-18,C7413,Wireless Mouse,Accessories,2,24.99,S002,Debit Card
10034,2026-01-14,C1863,Monitor,Electronics,2,249.99,S004,Credit Card
10035,2026-05-15,C4091,Headphones,Electronics,2,99.99,S003,Mobile Payment
10036,2026-01-16,C9294,External SSD,Storage,3,129.99,S003,Cash
10037,2026-06-12,C4214,External SSD,Storage,3,129.99,S003,Credit Card
10038,2026-07-14,C9083,USB-C Cable,Accessories,1,14.99,S003,Credit Card
10039,2026-04-03,C2232,USB-C Cable,Accessories,5,14.99,S004,Debit Card
10040,2026-05-20,C8738,USB Hub,Accessories,4,34.99,S001,Cash
10041,2026-06-08,C7074,Wireless Mouse,Accessories,3,24.99,S004,Cash
10042,2026-06-12,C1631,Headphones,Electronics,5,99.99,S002,Cash
10043,2026-02-20,C5118,USB Hub,Accessories,5,34.99,S004,Debit Card
10044,2026-03-08,C9254,Wireless Mouse,Accessories,1,24.99,S003,Credit Card
10045,2026-06-07,C9862,Laptop,Computers,4,899.99,S004,Mobile Payment
10046,2026-02-18,C4721,Webcam,Electronics,1,79.99,S001,Mobile Payment
10047,2026-07-01,C5825,USB-C Cable,Accessories,3,14.99,S004,Credit Card
10048,2026-05-08,C9442,Keyboard,Accessories,1,49.99,S001,Mobile Payment
10049,2026-07-31,C5543,Wireless Mouse,Accessories,1,24.99,S002,Mobile Payment
10050,2026-05-12,C2913,Webcam,Electronics,1,79.99,S001,Cash
10051,2026-06-13,C9063,Keyboard,Accessories,5,49.99,S005,Mobile Payment
10052,2026-01-10,C6297,USB-C Cable,Accessories,2,14.99,S005,Debit Card
10053,2026-01-03,C5688,Headphones,Electronics,1,99.99,S001,Cash
10054,2026-07-14,C3206,USB-C Cable,Accessories,3,14.99,S001,Cash
10055,2026-05-29,C9472,Headphones,Electronics,3,99.99,S005,Debit Card
10056,2026-03-05,C4581,Webcam,Electronics,4,79.99,S003,Credit Card
10057,2026-05-16,C2358,Laptop Stand,Accessories,5,39.99,S003,Debit Card
10058,2026-04-10,C3471,Headphones,Electronics,3,99.99,S002,Mobile Payment
10059,2026-01-27,C7976,USB Hub,Accessories,1,34.99,S002,Mobile Payment
10060,2026-01-23,C3387,Laptop,Computers,4,899.99,S004,Mobile Payment
10061,2026-07-18,C6049,Keyboard,Accessories,4,49.99,S005,Mobile Payment
10062,2026-06-16,C8102,Laptop,Computers,5,899.99,S002,Debit Card
10063,2026-04-18,C3753,Keyboard,Accessories,3,49.99,S001,Cash
10064,2026-03-09,C7256,USB Hub,Accessories,2,34.99,S005,Debit Card
10065,2026-07-18,C4106,USB Hub,Accessories,2,34.99,S004,Debit Card
10066,2026-07-19,C1828,External SSD,Storage,3,129.99,S005,Debit Card
10067,2026-02-26,C7939,Wireless Mouse,Accessories,5,24.99,S005,Debit Card
10068,2026-01-19,C1946,Laptop Stand,Accessories,1,39.99,S003,Credit Card
10069,2026-05-20,C3624,Wireless Mouse,Accessories,4,24.99,S002,Mobile Payment
10070,2026-03-20,C8607,Wireless Mouse,Accessories,3,24.99,S002,Cash
10071,2026-06-25,C8523,Monitor,Electronics,5,249.99,S004,Debit Card
10072,2026-07-11,C1114,Keyboard,Accessories,5,49.99,S001,Debit Card
10073,2026-03-24,C9339,Laptop Stand,Accessories,2,39.99,S004,Cash
10074,2026-05-12,C1741,Laptop,Computers,3,899.99,S001,Mobile Payment
10075,2026-07-05,C2559,Keyboard,Accessories,3,49.99,S005,Debit Card
10076,2026-05-11,C8967,Wireless Mouse,Accessories,3,24.99,S002,Credit Card
10077,2026-02-16,C2303,Laptop,Computers,1,899.99,S003,Cash
10078,2026-03-21,C8917,Keyboard,Accessories,5,49.99,S001,Debit Card
10079,2026-04-02,C2473,Monitor,Electronics,4,249.99,S005,Mobile Payment
10080,2026-01-07,C7987,USB-C Cable,Accessories,3,14.99,S005,Mobile Payment
10081,2026-02-22,C6243,Wireless Mouse,Accessories,4,24.99,S003,Credit Card
10082,2026-06-18,C8931,Laptop Stand,Accessories,1,39.99,S005,Credit Card
10083,2026-02-26,C6244,External SSD,Storage,1,129.99,S005,Debit Card
10084,2026-04-26,C2005,Keyboard,Accessories,4,49.99,S004,Cash
10085,2026-01-04,C2689,External SSD,Storage,4,129.99,S003,Credit Card
10086,2026-03-15,C4641,USB Hub,Accessories,3,34.99,S001,Cash
10087,2026-02-17,C1809,Laptop,Computers,5,899.99,S005,Cash
10088,2026-03-04,C9299,Webcam,Electronics,4,79.99,S003,Cash
10089,2026-07-21,C7309,External SSD,Storage,4,129.99,S003,Cash
10090,2026-05-16,C2561,Wireless Mouse,Accessories,3,24.99,S001,Debit Card
10091,2026-03-20,C4384,Laptop Stand,Accessories,5,39.99,S003,Cash
10092,2026-04-11,C7233,Wireless Mouse,Accessories,2,24.99,S002,Mobile Payment
10093,2026-03-24,C1162,Monitor,Electronics,5,249.99,S001,Debit Card
10094,2026-04-29,C9357,Keyboard,Accessories,3,49.99,S003,Cash
10095,2026-07-28,C7318,Wireless Mouse,Accessories,3,24.99,S002,Cash
10096,2026-05-17,C6346,Webcam,Electronics,2,79.99,S002,Cash
10097,2026-06-06,C3699,Laptop Stand,Accessories,3,39.99,S003,Credit Card
10098,2026-01-21,C7518,Webcam,Electronics,3,79.99,S002,Debit Card
10099,2026-07-29,C9866,Wireless Mouse,Accessories,3,24.99,S004,Cash
10100,2026-07-24,C8252,Headphones,Electronics,3,99.99,S001,Credit Card
10101,2026-05-30,C3464,Laptop Stand,Accessories,2,39.99,S001,Cash
10102,2026-05-25,C1095,Laptop,Computers,4,899.99,S001,Credit Card
10103,2026-01-17,C4203,USB-C Cable,Accessories,2,14.99,S002,Debit Card
10104,2026-03-20,C3764,External SSD,Storage,2,129.99,S005,Credit Card
10105,2026-03-27,C2478,Wireless Mouse,Accessories,2,24.99,S001,Mobile Payment
10106,2026-06-22,C6299,Headphones,Electronics,4,99.99,S001,Mobile Payment
10107,2026-03-18,C6667,Wireless Mouse,Accessories,3,24.99,S004,Cash
10108,2026-06-24,C3464,Monitor,Electronics,2,249.99,S005,Debit Card
10109,2026-02-08,C4281,Laptop,Computers,3,899.99,S005,Credit Card
10110,2026-07-16,C6438,Monitor,Electronics,2,249.99,S005,Credit Card
10111,2026-03-02,C9372,Wireless Mouse,Accessories,1,24.99,S002,Mobile Payment
10112,2026-05-20,C7386,USB-C Cable,Accessories,5,14.99,S005,Cash
10113,2026-01-03,C8271,USB-C Cable,Accessories,3,14.99,S001,Mobile Payment
10114,2026-05-26,C5640,USB-C Cable,Accessories,1,14.99,S003,Debit Card
10115,2026-04-03,C6487,Laptop Stand,Accessories,3,39.99,S002,Credit Card
10116,2026-05-26,C1466,USB-C Cable,Accessories,5,14.99,S005,Cash
10117,2026-07-27,C8141,Webcam,Electronics,4,79.99,S002,Debit Card
10118,2026-01-07,C3462,Laptop Stand,Accessories,4,39.99,S003,Mobile Payment
10119,2026-04-10,C2467,USB Hub,Accessories,3,34.99,S005,Cash
10120,2026-07-28,C7024,Wireless Mouse,Accessories,5,24.99,S002,Debit Card
10121,2026-05-13,C1475,Webcam,Electronics,5,79.99,S003,Credit Card
10122,2026-02-21,C9590,USB-C Cable,Accessories,5,14.99,S005,Debit Card
10123,2026-06-23,C5698,USB-C Cable,Accessories,5,14.99,S005,Debit Card
10124,2026-01-08,C5941,Monitor,Electronics,5,249.99,S003,Credit Card
10125,2026-07-07,C7326,External SSD,Storage,1,129.99,S001,Credit Card
10126,2026-07-19,C1347,Webcam,Electronics,3,79.99,S004,Credit Card
10127,2026-06-20,C6368,Headphones,Electronics,4,99.99,S002,Debit Card
10128,2026-07-16,C1087,External SSD,Storage,2,129.99,S004,Debit Card
10129,2026-07-08,C1798,External SSD,Storage,2,129.99,S005,Credit Card
10130,2026-01-15,C4591,External SSD,Storage,4,129.99,S001,Debit Card
10131,2026-05-21,C4648,Webcam,Electronics,3,79.99,S002,Debit Card
10132,2026-02-28,C4015,Laptop Stand,Accessories,4,39.99,S004,Cash
10133,2026-01-07,C5092,USB-C Cable,Accessories,1,14.99,S004,Credit Card
10134,2026-02-20,C5578,Laptop Stand,Accessories,1,39.99,S005,Cash
10135,2026-03-02,C2587,Laptop Stand,Accessories,1,39.99,S001,Debit Card
10136,2026-04-14,C1418,Laptop,Computers,1,899.99,S004,Mobile Payment
10137,2026-02-13,C8847,Webcam,Electronics,5,79.99,S005,Debit Card
10138,2026-03-29,C2482,Wireless Mouse,Accessories,4,24.99,S002,Cash
10139,2026-04-05,C4931,Monitor,Electronics,5,249.99,S005,Debit Card
10140,2026-04-28,C8734,USB Hub,Accessories,3,34.99,S003,Debit Card
10141,2026-05-09,C7654,Headphones,Electronics,2,99.99,S001,Mobile Payment
10142,2026-04-20,C8982,Monitor,Electronics,5,249.99,S004,Debit Card
10143,2026-02-28,C3192,USB-C Cable,Accessories,4,14.99,S005,Debit Card
10144,2026-04-30,C7082,Laptop,Computers,3,899.99,S004,Cash
10145,2026-05-09,C1448,Laptop,Computers,1,899.99,S002,Mobile Payment
10146,2026-06-15,C3424,External SSD,Storage,4,129.99,S003,Debit Card
10147,2026-04-14,C4677,Webcam,Electronics,1,79.99,S002,Credit Card
10148,2026-03-17,C3277,USB-C Cable,Accessories,1,14.99,S002,Debit Card
10149,2026-03-17,C4035,USB-C Cable,Accessories,3,14.99,S005,Cash
10150,2026-05-24,C3640,Headphones,Electronics,2,99.99,S005,Debit Card
10151,2026-01-22,C3080,Laptop Stand,Accessories,3,39.99,S004,Mobile Payment
10152,2026-06-02,C6846,USB Hub,Accessories,3,34.99,S002,Credit Card
10153,2026-01-23,C9871,USB-C Cable,Accessories,5,14.99,S002,Debit Card
10154,2026-02-17,C7611,Webcam,Electronics,2,79.99,S002,Debit Card
10155,2026-04-23,C1795,Laptop,Computers,2,899.99,S003,Cash
10156,2026-05-31,C6158,Monitor,Electronics,1,249.99,S002,Debit Card
10157,2026-06-27,C6787,Webcam,Electronics,3,79.99,S001,Cash
10158,2026-02-16,C4963,Headphones,Electronics,2,99.99,S002,Mobile Payment
10159,2026-07-17,C6011,Laptop Stand,Accessories,4,39.99,S005,Debit Card
10160,2026-01-09,C8626,Keyboard,Accessories,4,49.99,S005,Mobile Payment
10161,2026-06-16,C9402,USB-C Cable,Accessories,1,14.99,S003,Credit Card
10162,2026-07-31,C8335,Headphones,Electronics,2,99.99,S002,Credit Card
10163,2026-04-02,C1756,Keyboard,Accessories,1,49.99,S002,Mobile Payment
10164,2026-06-07,C4430,Webcam,Electronics,4,79.99,S005,Debit Card
10165,2026-01-19,C3531,USB-C Cable,Accessories,2,14.99,S004,Credit Card
10166,2026-04-25,C6457,Keyboard,Accessories,5,49.99,S002,Debit Card
10167,2026-02-07,C8161,Laptop Stand,Accessories,4,39.99,S004,Credit Card
10168,2026-03-20,C5236,USB Hub,Accessories,2,34.99,S005,Mobile Payment
10169,2026-02-07,C4020,External SSD,Storage,1,129.99,S001,Debit Card
10170,2026-04-02,C2615,Webcam,Electronics,1,79.99,S003,Credit Card
10171,2026-01-18,C2514,Monitor,Electronics,5,249.99,S001,Credit Card
10172,2026-01-23,C5244,Webcam,Electronics,2,79.99,S005,Credit Card
10173,2026-05-10,C6620,Wireless Mouse,Accessories,4,24.99,S001,Mobile Payment
10174,2026-07-17,C4599,Wireless Mouse,Accessories,3,24.99,S001,Mobile Payment
10175,2026-04-06,C2191,External SSD,Storage,4,129.99,S003,Debit Card
10176,2026-06-07,C7532,Webcam,Electronics,1,79.99,S005,Mobile Payment
10177,2026-02-27,C5817,Monitor,Electronics,4,249.99,S001,Debit Card
10178,2026-04-16,C8409,Laptop Stand,Accessories,3,39.99,S002,Cash
10179,2026-03-03,C1690,Laptop,Computers,5,899.99,S005,Credit Card
10180,2026-01-26,C1943,Monitor,Electronics,1,249.99,S005,Mobile Payment
10181,2026-04-26,C6476,Headphones,Electronics,2,99.99,S003,Debit Card
10182,2026-03-02,C3974,Laptop Stand,Accessories,5,39.99,S002,Cash
10183,2026-06-28,C9216,Wireless Mouse,Accessories,2,24.99,S001,Mobile Payment
10184,2026-03-29,C1747,Keyboard,Accessories,3,49.99,S004,Cash
10185,2026-05-06,C2478,Headphones,Electronics,4,99.99,S003,Mobile Payment
10186,2026-01-09,C6984,Monitor,Electronics,3,249.99,S005,Cash
10187,2026-01-18,C2408,USB Hub,Accessories,1,34.99,S003,Cash
10188,2026-04-19,C6050,Webcam,Electronics,1,79.99,S001,Mobile Payment
10189,2026-01-11,C5650,Keyboard,Accessories,2,49.99,S004,Credit Card
10190,2026-01-01,C2985,USB-C Cable,Accessories,3,14.99,S002,Debit Card
10191,2026-01-25,C5525,Keyboard,Accessories,2,49.99,S003,Credit Card
10192,2026-03-20,C5672,USB Hub,Accessories,4,34.99,S001,Debit Card
10193,2026-06-16,C8057,Headphones,Electronics,3,99.99,S005,Cash
10194,2026-02-19,C1289,Webcam,Electronics,3,79.99,S002,Cash
10195,2026-03-22,C3999,USB-C Cable,Accessories,1,14.99,S004,Credit Card
10196,2026-03-02,C6125,USB-C Cable,Accessories,4,14.99,S003,Cash
10197,2026-04-27,C7113,Laptop Stand,Accessories,3,39.99,S001,Debit Card
10198,2026-03-16,C7807,Webcam,Electronics,2,79.99,S004,Cash
10199,2026-07-04,C5709,Wireless Mouse,Accessories,2,24.99,S004,Mobile Payment
10200,2026-05-19,C2023,Laptop Stand,Accessories,2,39.99,S005,Mobile Payment
10201,2026-04-02,C7565,Monitor,Electronics,5,249.99,S003,Cash
10202,2026-05-23,C5127,USB Hub,Accessories,3,34.99,S005,Debit Card
10203,2026-03-29,C1022,USB Hub,Accessories,5,34.99,S001,Debit Card
10204,2026-03-18,C5333,USB-C Cable,Accessories,2,14.99,S001,Credit Card
10205,2026-04-14,C3195,Laptop Stand,Accessories,5,39.99,S001,Debit Card
10206,2026-01-24,C7629,Wireless Mouse,Accessories,5,24.99,S003,Cash
10207,2026-05-18,C9815,Wireless Mouse,Accessories,5,24.99,S005,Cash
10208,2026-03-05,C7506,External SSD,Storage,1,129.99,S002,Mobile Payment
10209,2026-04-13,C4773,Laptop,Computers,5,899.99,S004,Credit Card
10210,2026-03-09,C8099,Laptop,Computers,4,899.99,S003,Credit Card
10211,2026-03-11,C9282,Keyboard,Accessories,3,49.99,S001,Debit Card
10212,2026-05-02,C9103,USB Hub,Accessories,5,34.99,S005,Cash
10213,2026-07-21,C3257,Keyboard,Accessories,2,49.99,S003,Mobile Payment
10214,2026-07-28,C5957,Wireless Mouse,Accessories,4,24.99,S001,Credit Card
10215,2026-03-07,C8868,Laptop,Computers,1,899.99,S002,Debit Card
10216,2026-02-23,C5178,Laptop,Computers,3,899.99,S002,Cash
10217,2026-07-18,C7404,External SSD,Storage,4,129.99,S003,Debit Card
10218,2026-06-28,C9274,Headphones,Electronics,2,99.99,S004,Debit Card
10219,2026-06-08,C8026,Keyboard,Accessories,5,49.99,S004,Debit Card
10220,2026-05-09,C1600,Headphones,Electronics,4,99.99,S005,Cash
10221,2026-02-25,C8497,Wireless Mouse,Accessories,3,24.99,S003,Mobile Payment
10222,2026-05-26,C3906,Headphones,Electronics,1,99.99,S003,Mobile Payment
10223,2026-07-20,C7178,Webcam,Electronics,5,79.99,S001,Mobile Payment
10224,2026-03-12,C9395,Laptop Stand,Accessories,1,39.99,S002,Credit Card
10225,2026-06-03,C1439,Webcam,Electronics,2,79.99,S002,Mobile Payment
10226,2026-03-15,C1504,Laptop Stand,Accessories,1,39.99,S003,Cash
10227,2026-05-28,C6668,USB-C Cable,Accessories,4,14.99,S002,Debit Card
10228,2026-01-15,C9678,Headphones,Electronics,3,99.99,S004,Debit Card
10229,2026-02-13,C4278,USB Hub,Accessories,5,34.99,S002,Debit Card
10230,2026-02-22,C6411,Monitor,Electronics,2,249.99,S005,Credit Card
10231,2026-03-05,C3405,External SSD,Storage,3,129.99,S001,Mobile Payment
10232,2026-04-27,C9208,USB-C Cable,Accessories,2,14.99,S001,Cash
10233,2026-04-16,C1804,Laptop,Computers,2,899.99,S001,Cash
10234,2026-06-28,C6553,Webcam,Electronics,5,79.99,S003,Cash
10235,2026-01-17,C9896,External SSD,Storage,5,129.99,S003,Debit Card
10236,2026-07-15,C7626,USB-C Cable,Accessories,1,14.99,S001,Mobile Payment
10237,2026-01-12,C7146,Monitor,Electronics,3,249.99,S003,Mobile Payment
10238,2026-06-27,C8559,Laptop Stand,Accessories,1,39.99,S005,Credit Card
10239,2026-04-04,C5649,External SSD,Storage,4,129.99,S005,Cash
10240,2026-03-23,C2945,External SSD,Storage,4,129.99,S004,Debit Card
10241,2026-01-18,C5163,Monitor,Electronics,3,249.99,S003,Cash
10242,2026-05-16,C3325,Laptop Stand,Accessories,4,39.99,S001,Cash
10243,2026-01-12,C3731,External SSD,Storage,1,129.99,S003,Cash
10244,2026-02-15,C8991,Keyboard,Accessories,5,49.99,S003,Credit Card
10245,2026-03-29,C8954,USB Hub,Accessories,5,34.99,S003,Mobile Payment
10246,2026-03-01,C4357,Webcam,Electronics,3,79.99,S001,Debit Card
10247,2026-06-05,C9633,Webcam,Electronics,4,79.99,S002,Mobile Payment
10248,2026-07-21,C7223,USB-C Cable,Accessories,4,14.99,S005,Debit Card
10249,2026-03-25,C3149,Wireless Mouse,Accessories,4,24.99,S004,Credit Card
10250,2026-04-16,C6545,Keyboard,Accessories,4,49.99,S001,Mobile Payment
10251,2026-07-14,C8829,USB-C Cable,Accessories,3,14.99,S005,Mobile Payment
10252,2026-05-24,C9528,Webcam,Electronics,2,79.99,S003,Cash
10253,2026-06-29,C6602,Wireless Mouse,Accessories,2,24.99,S003,Cash
10254,2026-01-09,C5195,USB Hub,Accessories,3,34.99,S002,Debit Card
10255,2026-07-03,C3979,Monitor,Electronics,4,249.99,S004,Credit Card
10256,2026-04-28,C1003,Monitor,Electronics,4,249.99,S005,Debit Card
10257,2026-05-30,C6468,USB-C Cable,Accessories,5,14.99,S005,Debit Card
10258,2026-05-28,C3723,Laptop,Computers,1,899.99,S005,Cash
10259,2026-07-26,C7041,Webcam,Electronics,5,79.99,S004,Cash
10260,2026-04-05,C7306,Laptop Stand,Accessories,3,39.99,S001,Credit Card
10261,2026-01-21,C3976,Laptop Stand,Accessories,3,39.99,S005,Mobile Payment
10262,2026-05-20,C3245,Laptop Stand,Accessories,1,39.99,S002,Credit Card
10263,2026-04-21,C4349,USB-C Cable,Accessories,1,14.99,S001,Mobile Payment
10264,2026-02-14,C5154,Webcam,Electronics,2,79.99,S001,Mobile Payment
10265,2026-01-06,C6550,USB-C Cable,Accessories,1,14.99,S001,Credit Card
10266,2026-05-06,C4109,Headphones,Electronics,4,99.99,S001,Debit Card
10267,2026-02-18,C1237,Wireless Mouse,Accessories,4,24.99,S003,Cash
10268,2026-01-30,C4956,Monitor,Electronics,5,249.99,S001,Mobile Payment
10269,2026-01-04,C5606,Webcam,Electronics,5,79.99,S004,Mobile Payment
10270,2026-04-26,C5794,Headphones,Electronics,2,99.99,S004,Cash
10271,2026-07-01,C6450,Laptop Stand,Accessories,3,39.99,S001,Mobile Payment
10272,2026-03-10,C3878,Monitor,Electronics,2,249.99,S005,Debit Card
10273,2026-06-05,C5373,Laptop Stand,Accessories,3,39.99,S003,Credit Card
10274,2026-07-15,C8973,Monitor,Electronics,1,249.99,S004,Cash
10275,2026-03-07,C1943,Webcam,Electronics,1,79.99,S001,Cash
10276,2026-06-25,C2556,Headphones,Electronics,2,99.99,S005,Credit Card
10277,2026-01-28,C4380,USB Hub,Accessories,5,34.99,S001,Mobile Payment
10278,2026-01-08,C1814,Monitor,Electronics,2,249.99,S005,Credit Card
10279,2026-02-01,C6813,Laptop Stand,Accessories,5,39.99,S002,Mobile Payment
10280,2026-06-06,C7737,Keyboard,Accessories,2,49.99,S001,Mobile Payment
10281,2026-01-20,C2683,Keyboard,Accessories,1,49.99,S002,Mobile Payment
10282,2026-01-24,C5210,USB-C Cable,Accessories,4,14.99,S005,Mobile Payment
10283,2026-05-30,C3438,External SSD,Storage,1,129.99,S005,Debit Card
10284,2026-02-01,C9556,Laptop Stand,Accessories,3,39.99,S002,Mobile Payment
10285,2026-01-18,C7635,Laptop,Computers,5,899.99,S003,Debit Card
10286,2026-03-06,C3306,Webcam,Electronics,5,79.99,S004,Debit Card
10287,2026-05-21,C4712,Laptop Stand,Accessories,2,39.99,S001,Debit Card
10288,2026-03-24,C9691,Laptop,Computers,1,899.99,S001,Debit Card
10289,2026-05-12,C6749,USB-C Cable,Accessories,2,14.99,S001,Credit Card
10290,2026-01-12,C5431,Monitor,Electronics,3,249.99,S003,Debit Card
10291,2026-06-07,C5687,Monitor,Electronics,2,249.99,S001,Credit Card
10292,2026-05-03,C8887,Keyboard,Accessories,1,49.99,S003,Cash
10293,2026-07-30,C9118,USB-C Cable,Accessories,3,14.99,S004,Cash
10294,2026-07-14,C3376,Monitor,Electronics,1,249.99,S003,Cash
10295,2026-04-05,C8703,USB Hub,Accessories,1,34.99,S001,Cash
10296,2026-04-24,C8062,USB Hub,Accessories,2,34.99,S003,Cash
10297,2026-06-21,C5293,Laptop Stand,Accessories,1,39.99,S005,Mobile Payment
10298,2026-07-29,C9621,Wireless Mouse,Accessories,1,24.99,S004,Cash
10299,2026-03-15,C1860,USB Hub,Accessories,4,34.99,S005,Cash
10300,2026-05-18,C7524,External SSD,Storage,4,129.99,S004,Cash
10301,2026-01-25,C2735,Wireless Mouse,Accessories,1,24.99,S005,Credit Card
10302,2026-03-11,C6105,Wireless Mouse,Accessories,4,24.99,S004,Mobile Payment
10303,2026-03-31,C1224,USB-C Cable,Accessories,1,14.99,S004,Cash
10304,2026-07-15,C2241,Laptop,Computers,3,899.99,S004,Credit Card
10305,2026-05-04,C4470,Keyboard,Accessories,2,49.99,S003,Cash
10306,2026-02-07,C9767,Wireless Mouse,Accessories,2,24.99,S001,Mobile Payment
10307,2026-06-19,C4839,Laptop,Computers,1,899.99,S003,Cash
10308,2026-05-11,C2249,Webcam,Electronics,5,79.99,S003,Cash
10309,2026-01-26,C8514,Webcam,Electronics,4,79.99,S005,Mobile Payment
10310,2026-04-20,C6199,Laptop Stand,Accessories,4,39.99,S004,Debit Card
10311,2026-07-22,C6691,Headphones,Electronics,3,99.99,S005,Cash
10312,2026-03-07,C8721,USB Hub,Accessories,1,34.99,S005,Mobile Payment
10313,2026-06-04,C1143,USB-C Cable,Accessories,2,14.99,S004,Mobile Payment
10314,2026-02-14,C6845,Laptop Stand,Accessories,5,39.99,S004,Credit Card
10315,2026-05-07,C2333,Webcam,Electronics,4,79.99,S005,Cash
10316,2026-01-07,C6047,Monitor,Electronics,4,249.99,S005,Credit Card
10317,2026-04-17,C5713,USB-C Cable,Accessories,3,14.99,S005,Debit Card
10318,2026-02-18,C5481,Monitor,Electronics,1,249.99,S004,Debit Card
10319,2026-04-30,C6792,Wireless Mouse,Accessories,3,24.99,S001,Mobile Payment
10320,2026-03-21,C5469,USB Hub,Accessories,2,34.99,S004,Debit Card
10321,2026-01-18,C9582,Webcam,Electronics,2,79.99,S003,Mobile Payment
10322,2026-04-12,C1521,Monitor,Electronics,1,249.99,S001,Mobile Payment
10323,2026-04-02,C5047,Wireless Mouse,Accessories,4,24.99,S002,Credit Card
10324,2026-03-13,C6970,Laptop Stand,Accessories,3,39.99,S003,Cash
10325,2026-06-07,C5536,Keyboard,Accessories,3,49.99,S001,Credit Card
10326,2026-06-20,C6823,Monitor,Electronics,4,249.99,S005,Debit Card
10327,2026-02-13,C4006,Monitor,Electronics,4,249.99,S002,Credit Card
10328,2026-07-24,C3187,USB Hub,Accessories,3,34.99,S002,Cash
10329,2026-07-30,C1512,USB-C Cable,Accessories,4,14.99,S004,Cash
10330,2026-01-23,C7235,Headphones,Electronics,4,99.99,S004,Debit Card
10331,2026-06-13,C7940,Laptop Stand,Accessories,4,39.99,S001,Cash
10332,2026-02-22,C6588,Headphones,Electronics,3,99.99,S003,Debit Card
10333,2026-04-03,C9467,USB-C Cable,Accessories,3,14.99,S001,Debit Card
10334,2026-05-19,C5186,USB-C Cable,Accessories,5,14.99,S002,Debit Card
10335,2026-03-25,C5531,Webcam,Electronics,5,79.99,S002,Debit Card
10336,2026-06-25,C5466,Keyboard,Accessories,5,49.99,S003,Credit Card
10337,2026-07-28,C5132,Wireless Mouse,Accessories,2,24.99,S001,Credit Card
10338,2026-01-21,C6798,Keyboard,Accessories,2,49.99,S001,Debit Card
10339,2026-05-15,C2410,Laptop Stand,Accessories,4,39.99,S005,Mobile Payment
10340,2026-05-19,C2550,Wireless Mouse,Accessories,5,24.99,S001,Debit Card
10341,2026-02-20,C5903,Laptop,Computers,4,899.99,S005,Credit Card
10342,2026-07-18,C6865,Laptop Stand,Accessories,4,39.99,S002,Cash
10343,2026-06-18,C6607,Laptop Stand,Accessories,5,39.99,S003,Cash
10344,2026-04-26,C4107,USB-C Cable,Accessories,5,14.99,S003,Debit Card
10345,2026-02-03,C3479,Headphones,Electronics,4,99.99,S005,Credit Card
10346,2026-02-22,C7215,USB-C Cable,Accessories,3,14.99,S002,Debit Card
